country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Tunisia,May_Spring,Immocar Appartements,TND 102,N/A,N/A,N/A,90,1,Apartment
Tunisia,May_Spring,Hotel karim Tunis,TND 146,9.1,Wonderful,129 reviews,N/A,N/A,N/A
Tunisia,May_Spring,Dar Ben Gacem,TND 339,9.0,Wonderful,528 reviews,N/A,1,Suite
Tunisia,May_Spring,Hotel Dar Ali,TND 132,7.2,Good,"1,551 reviews",N/A,N/A,N/A
Tunisia,May_Spring,"The 18, Marsa Guest House",TND 119,8.8,Excellent,219 reviews,N/A,N/A,N/A
Tunisia,May_Spring,The NINE Lifestyle Experience,TND 544,9.1,Wonderful,286 reviews,N/A,N/A,N/A
Tunisia,May_Spring,L'Orchidée - Suites de Luxe avec Piscine Chauffée et Vue sur le Lac de Tunis,TND 447,9.6,Exceptional,190 reviews,50,1,Apartment
Tunisia,May_Spring,El Mouradi Hotel Africa Tunis,TND 309,7.5,Good,"1,956 reviews",N/A,N/A,N/A
Tunisia,May_Spring,"Radisson Blu Hotel & Convention Center, Tunis",TND 425,8.6,Excellent,"1,006 reviews",N/A,N/A,N/A
Tunisia,May_Spring,"Radisson Hotel Tunis, City Center",TND 414,8.8,Excellent,591 reviews,N/A,N/A,N/A
Tunisia,May_Spring,Hôtel Suisse Tunis,TND 232,8.7,Excellent,"2,571 reviews",N/A,N/A,N/A
Tunisia,May_Spring,Victoria,TND 146,8.4,Very Good,69 reviews,40,1,Apartment
Tunisia,May_Spring,El Oumara Hotel,TND 188,8.0,Very Good,"1,002 reviews",N/A,N/A,N/A
Tunisia,May_Spring,Hotel AL KARMEL,TND 135,6.9,Scored 6.9,"1,511 reviews",N/A,N/A,N/A
Tunisia,May_Spring,Acropole Tunis,TND 420,7.6,Good,"1,664 reviews",N/A,N/A,N/A
Tunisia,May_Spring,Dar El Kif - La Marsa,TND 322,8.9,Excellent,341 reviews,N/A,N/A,N/A
Tunisia,May_Spring,Golf Royal Hotel,TND 268,8.0,Very Good,"2,990 reviews",N/A,N/A,N/A
Tunisia,May_Spring,Nomads Hostel Tunisia,TND 119,8.7,Excellent,984 reviews,N/A,1,Suite
